Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES
1119,"ASSOCIACAO VITORIENSE DE EDUCACAO, CIENCIAS E CULTURA - AVEC",03.391.726/0001-90,Privada sem fins lucrativos,1697,CENTRO UNIVERSITÁRIO FACOL (UNIFACOL),UNIFACOL,(81) 3523-0103,www.facol.net,direcao.academica@unifacol.edu.br,Rua do Estudante - 85 - CEP: 55612-285 - Universitário,Vitória de Santo Antão,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,02/04/2001,4,2018,5,2018,3,2022,,,,Ativa
1179,SOCIEDADE DE EDUCACAO DO VALE DO IPOJUCA LTDA,02.738.361/0001-65,Privada com fins lucrativos,1775,Centro Universitário Favip Wyden (UniFavip Wyden),UniFavip Wyden,,www.unifavip.edu.br,cgunifavipw@gmail.com;regulatorio.nacional@estacio.br;,Avenida Adjar da Silva Casé - 800 - CEP: 55024-740 - Indianópolis,Caruaru,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,25/07/2001,5,2019,5,2023,3,2022,,,,Ativa
1174,YDUQS EDUCACIONAL LTDA.,03.681.572/0001-71,Privada com fins lucrativos,1255,Centro Universitário FBV Wyden (UniFBV Wyden),UniFBV Wyden,,www.fbv.edu.br,cgunifbvw@gmail.com;regulatorio.nacional@estacio.br,Avenida Jean Emile Favre - 422 - CEP: 51190-540 - Imbiribeira,Recife,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,17/02/1999,5,2024,5,2018,3,2022,,,,Ativa
2449,SOCIEDADE DE ENSINO SUPERIOR DE SERRA TALHADA - SESST,06.090.271/0001-61,Privada com fins lucrativos,3881,Centro Universitário FIS (Unifis),Unifis,(87) 3831-1472,www.fis.edu.br,mrmlima.mm@gmail.com,Rua João Luiz de Melo - 2110 - CEP: 56909-205 - Tancredo Neves,Serra Talhada,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,08/12/2006,4,2022,5,2021,3,2022,,,,Ativa
116,CONGREGACAO DE SANTA DOROTEIA DO BRASIL,10.847.747/0001-33,Privada sem fins lucrativos,160,Centro Universitário Frassinetti do Recife (UniFAFIRE),UniFAFIRE,(81) 2122-3500,www.fafire.br,mdasgracas@fafire.br,Avenida Conde da Boa Vista - 921 - CEP: 50060-002 - Boa Vista,Recife,PE,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,05/11/1940,5,2023,-,,3,2022,,,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,2835,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU (UNINASSAU),UNINASSAU,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Rua Guilherme Pinto - 114 - CEP: 52011-210 - Graças,Recife,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,15/05/2003,5,2018,5,2019,3,2022,,,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,14717,Centro Universitário Maurício de Nassau de Caruaru (Uninassau Caruaru),Uninassau Caruaru,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Entroncamento da Rodovia BR-232 com a BR 104 - 1215 - CEP: 55034-640 - Agamenom Magalhães,Caruaru,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,28/05/2012,4,2021,5,2021,3,2022,,,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,4153,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DERBY (UNINASSAU),UNINASSAU,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Rua Guilherme Pinto - 400 - CEP: 52010-210 - Derby,Recife,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,23/10/2007,5,2023,4,2019,3,2022,,,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,4118,Centro Universitário Maurício de Nassau Paulista (UNINASSAU PAULISTA),UNINASSAU PAULISTA,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Avenida Senador Salgado Filho - s/n - CEP: 53401-440 - Centro,Paulista,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,30/04/2007,4,2023,5,2018,3,2022,,,,Ativa
1101,SOCIEDADE CULTURAL E EDUCACIONAL SANTA RITA DE CASSIA LTDA - ME,02.883.040/0001-54,Privada com fins lucrativos,1676,CENTRO UNIVERSITÁRIO SÃO MIGUEL (UNISÃOMIGUEL),UNISÃOMIGUEL,(81) 21288555,www.unisaomiguel.edu.br,"vitoriausm2023@gmail.com;saulofarias@csainfo.com.br;diretora@focca.com.br,marco@quapin.com",Rua Rua Barão de São Borja - 421 ao fim - ímpar - 427 - CEP: 50070-135 - Boa Vista,Recife,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,29/03/2001,4,2024,4,2015,3,2022,,,,Ativa
131,ASSOCIACAO CARUARUENSE DE ENSINO SUPERIOR - ASCES,09.993.940/0001-01,Privada sem fins lucrativos,2409,CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA (ASCES-UNITA),ASCES-UNITA,(081) 2103 2000,www.asces.edu.br,asces@asces.edu.br,Avenida Portugal - 584 - CEP: 55016-901 - Universitário,Caruaru,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,16/04/1959,4,2023,5,2021,4,2022,,,,Ativa
274,SOCIEDADE DE EDUCACAO TIRADENTES S.A,13.013.263/0001-87,Privada com fins lucrativos,1709,Centro Universitário Tiradentes de Pernambuco (UNIT PE),UNIT PE,(81)3073 8877; (79) 999724613,https://pe.unit.br,jose_adailton@unit.br; elisangela_sousa@unit.br,Avenida Marechal Mascarenhas de Morais - 3905 - CEP: 51150-003 - Imbiribeira,Recife,PE,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,02/05/2001,5,2023,-,,4,2022,,,,Ativa
887,SOEC SOCIEDADE OLINDENSE DE EDUCACAO E CULTURA,69.904.449/0001-80,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1328,Centro Universitário Uninovo (UNINOVO),UNINOVO,81-34290772,www.uninovo.edu.br,uninovo@uninovo.edu.br; academico@uninovo.edu.br,Av.Getúlio Vargas - 1360 - CEP: 53120-010 - Bairro Novo,Olinda,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,24/06/1999,4,2021,3,2021,3,2022,,,,Ativa
435,ASSOCIACAO SALGADO DE OLIVEIRA DE EDUCACAO E CULTURA,28.638.393/0001-82,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,15054,CENTRO UNIVERSITÁRIO UNIVERSO RECIFE,-,(21) 2138-4945,www.universo.edu.br,reitoria@nt.universo.edu.br,Avenida Marechal Mascarenhas de Morais - 2169 - CEP: 51150-001 - Imbiribeira,Recife,PE,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,,5,2017,-,,-,,,,,Ativa
13464,FUNDACAO JOAQUIM NABUCO FUNDAJ,09.773.169/0001-59,Pessoa Jurídica de Direito Público - Federal,17612,DIRETORIA DE FORMAÇÃO E DESENVOLVIMENTO PROFISSIONAL (FUNDAJ),FUNDAJ,,,,Rua Henrique Dias - - CEP: 52010-100 - Derby,Recife,PE,Escola de Governo,Escola do Governo,Publica,Pública Federal,16/05/2017,4,2015,-,,-,,,,,Ativa
57,AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE,11.462.454/0001-09,Pessoa Jurídica de Direito Público - Municipal,4858,ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE (ESSA),ESSA,(87) 3821-3247,www.aesa-cesa.br,direcao.essa@aesa-cesa.br,Rua Gumercindo Cavalcanti - s/n - CEP: 56500-000 - São Cristóvão,Arcoverde,PE,Faculdade,Presencial - Superior,Publica,Especial,06/01/2004,-,,-,,2,2022,,,,Ativa
16449,ALPHA SISTEMAS EDUCACIONAIS E TREINAMENTOS - EIRELI,15.708.483/0001-50,Privada com fins lucrativos,20570,Faculdade Alpha (Alpha),Alpha,(81)30717249,www.alpha.rec.br,direcao@alpha.rec.br,Rua Gervásio Pires - 826 - CEP: 50050-415 - Santo Amaro,Recife,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,02/10/2017,4,2022,5,2021,3,2022,,,,Ativa
2011,ORGANIZACAO DE ENSINO SUPERIOR ANCHIETA - OESA,02.533.247/0001-07,Privada com fins lucrativos,3148,FACULDADE ANCHIETA DO RECIFE (FAR),FAR,(81) 3328 1481 - (81) 3132 1777,www.faculdadea.com.br,diretoriageral@faculdadea.com.br,Avenida Engenheiro Domingos Ferreira - 1990 - CEP: 51111-020 - Boa Viagem,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,09/09/2002,3,2017,-,,3,2013,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa
14514,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,38.733.648/0001-40,Privada com fins lucrativos,23897,FACULDADE ANHANGUERA DE CARUARU,-,31-21260303,,ddi@kroton.com.br;danielle.fnonato@kroton.com.br,Avenida Cleto Campelo - 36 - CEP: 55012-340 - Maurício de Nassau,Caruaru,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,19/10/2022,4,2021,-,,-,,,,Unificação de Mantidas,Ativa
3167,ORME SERVICOS EDUCACIONAIS LTDA,05.478.567/0001-91,Privada com fins lucrativos,22158,Faculdade Anhanguera de Petrolina,-,(31) 8450-5383,,quezia.rebula@cogna.com.br; ddi@kroton.com.br,Avenida Monsenhor Ângelo Sampaio - 696 - CEP: 56328-000 - Vila Eduardo,Petrolina,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,20/03/2019,4,2023,-,,-,,,,,Ativa
276,AESO-ENSINO SUPERIOR DE OLINDA LTDA,09.726.365/0001-72,Privada com fins lucrativos,24190,Faculdade Barros Melo Recife (UNIAESO),UNIAESO,81 32047536,,aeso@aeso.br,Rua do Bom Jesus - 137 - CEP: 50030-170 - Recife,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,21/08/2020,5,2019,-,,-,,,,,Ativa
18167,COLEGIO BRASILEIRO DE ESPECIALIZACAO ACADEMICA EM MEDICINA E SAUDE LTDA,12.985.286/0001-90,Privada com fins lucrativos,26267,Faculdade Brasileira de Medicina e Saúde (CMBS),CMBS,(81) 2129-1007; (81) 3203-5770 ou (81) 9 9433-6051,,diretoriafinanceira@cbms.med.br,Rua Professor Severino Tolentino - 144 - CEP: 54400-140 - Piedade,Jaboatão dos Guararapes,PE,Faculdade,EAD - Superior,Privada,Privada com fins lucrativos,26/11/2024,-,,5,2023,-,,,,,Ativa
278,UNIAO BRASILEIRA DE EDUCACAO CATOLICA,00.331.801/0001-30,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,2723,FACULDADE CATÓLICA IMACULADA CONCEIÇÃO DO RECIFE (CATÓLICA),CATÓLICA,(81) 21270500,https://ficr.catolica.edu.br/portal/,polyana.souza@ficr.edu.br,Avenida Caxangá - 3839 - CEP: 50670-902 - Iputinga,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,31/12/2002,4,2023,-,,3,2022,,,,Ativa
16215,SOCIEDADE DE EDUCACAO E TECNOLOGIA CEAM LTDA,19.775.838/0001-85,Privada com fins lucrativos,19369,Faculdade CEAM (CEAM),CEAM,81997200455,faculdadeceam.com.br,contato@faculdadeceam.com.br,Rua Joaquim Felipe - 73 - CEP: 50050-340 - Boa Vista,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,23/05/2017,3,2022,-,,4,2022,,,,Ativa
17074,CENTRO DE ESTUDOS ACADEMICOS DO RECIFE EIRELI,29.644.327/0001-88,Privada com fins lucrativos,23191,Faculdade Central do Recife-Centro (FACEN),FACEN,8199996669,www.faculdadecentraldorecife.edu.br,FREDERICO.BELFORT@faculdadecentraldorecife.edu.br,Rua Velha - 34 A - CEP: 50060-210 - Boa Vista,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,12/09/2019,5,2024,-,,-,,,,,Ativa
16797,COMPLEXO DE ENSINO RENATO SARAIVA LTDA,08.403.264/0001-06,Privada com fins lucrativos,17091,Faculdade CERS (CERS),CERS,81-33275768,,guilherme@cers.com.br;,Avenida Rui Barbosa - 715 - CEP: 52011-040 - Graças,Recife,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,29/04/2015,4,2020,4,2018,-,,,,"Credenciamento EaD Provisório, Em supervisão - Procedimento Sancionador",Ativa
16845,CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE,01.203.327/0001-23,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,19327,Faculdade Cesar (FCE),FCE,81 34196700,www.cesar.school,contato@cesar.school,Rua do Brum - 77 - CEP: 50030-260 - Recife,Recife,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,21/07/2016,5,2022,5,2021,5,2022,,,,Ativa
17883,CESPU BRASIL EDUCACAO EIRELI,35.587.697/0001-23,Privada com fins lucrativos,25712,FACULDADE CESPU EUROPA BRASIL (FACCE),FACCE,8140421660,,fptavares2003@yahoo.com.br,Estrada da Batalha - 1200 - CEP: 54315-570 - Jardim Jordão,Jaboatão dos Guararapes,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,24/10/2022,4,2021,-,,-,,,,,Ativa
18604,SESRIO EDUCACIONAL LTDA,49.233.939/0001-95,Privada com fins lucrativos,19860,FACULDADE CONCEITO EDUCACIONAL (FACCON),FACCON,87 99953-5900,www.faccon.com.br,contato@faccon.com.br; educacionaldirecao@gmail.com; humbertorochimin@yahoo.com.br,Rua Anízio Pacheco Duque - 1000 - CEP: 56509-220 - São Miguel,Arcoverde,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,16/11/2017,3,2023,-,,-,,,,,Ativa
1237,SOCIEDADE DE ENSINO SUPERIOR DA ESCADA LTDA - SOESE,03.373.369/0001-38,Privada com fins lucrativos,1881,FACULDADE DA ESCADA (FAESC),FAESC,(81)984913780,www.faesc.edu.br,silviagpeducacao@gmail.com,Rua Coronel Antônio Marques - 67 - CEP: 55500-000 - Centro,Escada,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,06/12/2001,3,2023,4,2021,3,2022,,,,Ativa
2300,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,10.847.762/0001-81,Privada sem fins lucrativos,3631,FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ (FADIC),FADIC,(81)3426-5026,www.faculdadedamas.edu.br,ir.alcilene@faculdadedamas.edu.br,Avenida Rui Barbosa - 1426 - CEP: 52050-000 - Bairro das Graças,Recife,PE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,01/04/2005,4,2018,4,2021,4,2022,,,,Ativa
18478,UNIFAST EDUCACIONAL LTDA,40.813.561/0001-24,Privada com fins lucrativos,1454,"FACULDADE DE ADMINISTRAÇÃO, SAÚDE E TECNOLOGIA (FAST)",FAST,81999855951,www.faculdadesalesianarecife.edu.br,eduarda@unifast.com.br,Rua Dom Bosco - 551 - CEP: 50070-070 - Boa Vista,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,24/02/2000,3,2021,-,,2,2021,,,,Ativa
468,AUTARQUIA EDUCACIONAL DO ARARIPE,11.469.541/0001-80,Pessoa Jurídica de Direito Público - Municipal,704,FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA (FACIAGRA),FACIAGRA,(87) 3873 0440,www.aeda.edu.br,presidencia@aeda.edu.br,Avenida Florentino Alves Batista - S/N - CEP: 56280-000 - CENTRO,Araripina,PE,Faculdade,Presencial - Superior,Publica,Especial,02/02/1986,-,,-,,3,2022,,,,Ativa
455,FACULDADE DE CIENCIAS DA ADMINISTRACAO DO LIMOEIRO,11.166.741/0001-63,Pessoa Jurídica de Direito Público - Municipal,686,FACULDADE DE CIÊNCIAS APLICADAS DE LIMOEIRO (FACAL),FACAL,81 36281714,www.facal.edu.br,facal@facal.edu.br,Avenida Jerônimo Heraclio - 81 - CEP: 55700-000 - CENTRO,Limoeiro,PE,Faculdade,Presencial - Superior,Publica,Especial,13/12/1973,-,,-,,3,2022,,,,Ativa
430,AUTARQUIA EDUCACIONAL DE SERRA TALHADA AESET,11.115.011/0001-33,Pessoa Jurídica de Direito Público - Municipal,17775,Faculdade de Ciências da Saúde de Serra Talhada (FACISST),FACISST,(87)3831-2311,,facisst@gmail.com,Avenida Afonso Magalhães - SN - CEP: 56912-380 - São Cristóvão,Serra Talhada,PE,Faculdade,Presencial - Superior,Publica,Especial,,-,,-,,2,2022,,,,Ativa
718,ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA,70.223.060/0001-59,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,17116,Faculdade de Ciências de Goiana (FCG),FCG,81 3626 0355,,"emec@anovaeducacao.com, luciatavaressousa@outlook.com",Rua Duque de Caxias - 621 - CEP: 55900-000 - Centro,Goiana,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,11/10/2016,4,2023,-,,3,2021,,,,Ativa
718,ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA,70.223.060/0001-59,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1021,FACULDADE DE CIÊNCIAS DE TIMBAÚBA (FACET),FACET,(81) 3631 0752,www.faculdadedetimbauba.edu.br,"emec@anovaeducacao.com, luciatavaressousa@outlook.com",Av Antonio Xavier de Morais - 3 - CEP: 55870-000 - SAPUCAIA,Timbaúba,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,26/09/1997,4,2023,-,,3,2022,,,Unificação de Mantidas,Ativa
17262,CCE - CENTRO DE CAPACITACAO EDUCACIONAL LTDA.,02.942.309/0001-26,Privada com fins lucrativos,23798,Faculdade de Ciências e Educação em Saúde (FACCESA),FACCESA,,https://www.cce.faccesa.edu.br/,coordenacaopedagogica@ccecursos.com.br;leonidasalbuquerque@hotmail.com,Avenida Conselheiro Aguiar - 1729 - CEP: 51111-011 - Boa Viagem,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,21/09/2021,4,2019,-,,-,,,,,Ativa
467,AUTARQUIA MUNICIPAL DO ENSINO SUPERIOR DE GOIANA,11.408.812/0001-97,Pessoa Jurídica de Direito Público - Municipal,702,FACULDADE DE CIÊNCIAS E TECNOLOGIA PROFESSOR DIRSON MACIEL DE BARROS (FADIMAB),FADIMAB,(81) 3626 0740,www.fadimab.edu.br,ribeiromarcos@hotmail.com,Rua Poço do Rei - S/N - CEP: 55900-000 - CENTRO,Goiana,PE,Faculdade,Presencial - Superior,Publica,Especial,13/09/1972,-,,-,,3,2022,,,,Ativa
104,ASSOCIACAO INSTRUTORA MISSIONARIA,10.579.324/0001-80,Privada sem fins lucrativos,144,FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA (FACHO),FACHO,(81) 3429 4100,www.facho.br,facho@facho.br,"Rodovia PE 15, KM 3.6 - S/N - CEP: 53330-740 - Ouro Preto",Olinda,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,17/01/1973,4,2024,-,,3,2022,,,,Ativa
516,SOCIEDADE PERNAMBUCANA DE CULTURA E ENSINO LTDA - SOPECE,08.141.582/0001-38,Privada com fins lucrativos,760,FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO (FCHPE),FCHPE,(81)32214423 (81)21237979,www.sopece.br,sopece@sopece.br,Avenida João de Barros - 561 - CEP: 50050-180 - Boa Vista,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,03/12/1987,3,2017,-,,3,2022,,,,Ativa
509,AUTARQUIA EDUCACIONAL DE SALGUEIRO,11.351.343/0001-17,Pessoa Jurídica de Direito Público - Municipal,753,FACULDADE DE CIÊNCIAS HUMANAS DO SERTÃO CENTRAL (FACHUSC),FACHUSC,8738710217,www.fachusc.com.br,fachuscpe@gmail.com,RUA ANTÔNIO FILGUEIRA SAMPAIO - 134 - CEP: 56000-000 - AUGUSTO SAMPAIO,Salgueiro,PE,Faculdade,Presencial - Superior,Publica,Especial,30/08/1984,-,,-,,2,2022,,,,Ativa
2293,SOCIEDADE AMIGOS DA INSTRUCAO DE JATINA - ME,09.801.291/0001-91,Privada com fins lucrativos,3617,FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO (FACESF),FACESF,(87)3876 1460,www.facesf.com.br,facesf@hotmail.com,Rua Coronel Trapiá - 202 - CEP: 56440-000 - Centro,Belém do São Francisco,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,09/07/2007,3,2017,-,,2,2022,,,,Ativa
